Número da contratação,Código Classe/Grupo,Valor Total,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,IdxValor,ID,ID Futura Contratação,Valor PCA
1/2025,871,61500,Aprovada,,Manutenção de veículos,SERVICOS,102122,45567,45687,120,ATA - ADMINISTRACAO,15/2024,Médio,1,45687,Serviço,"SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS",,,,,,61500,1,1,12,102122-1/2025,61500
1/2025,2940,23000,Aprovada,,Manutenção de veículos,SERVICOS,102122,45567,45687,120,ATA - ADMINISTRACAO,15/2024,Médio,1,45687,Material,"FILTROS DE AR E DE ÓLEO, ELEMENTOS FILTRANTES E PURIFICADO- RES DE MOTORES, EXCETO DE AERONAVES",,,,,,23000,1,1,12,102122-1/2025,23000
10/2025,6515,40000,Aprovada,,Médico-Hospitalar Almoxarifado,BENS,102122,45765,45887,122,ALMOXARIFADO,1/2024,Médio,2,45870,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS",,,,,,40000,1,1,44,102122-10/2025,40000
10/2025,6532,135600,Aprovada,,Médico-Hospitalar Almoxarifado,BENS,102122,45765,45887,122,ALMOXARIFADO,1/2024,Médio,1,45870,Material,VESTUÁRIO HOSPITALAR E CIRÚRGICO E ITENS CORRELATOS DE  FINALIDADES ESPECIAIS,,,,,,135600,1,1,44,102122-10/2025,135600
11/2025,8135,1000,Aprovada,,Artigos de higiene e  limpeza Almoxarifado,BENS,102122,45743,45863,120,ALMOXARIFADO,12/2024,Médio,8,45667,Material,MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM,,,,,,1000,1,1,41,102122-11/2025,1000
11/2025,8135,2500,Aprovada,,Artigos de higiene e  limpeza Almoxarifado,BENS,102122,45743,45863,120,ALMOXARIFADO,12/2024,Médio,9,45667,Material,MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM,,,,,,2500,1,1,41,102122-11/2025,2500
11/2025,8520,5000,Aprovada,,Artigos de higiene e  limpeza Almoxarifado,BENS,102122,45743,45863,120,ALMOXARIFADO,12/2024,Médio,1,45667,Material,"SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS",,,,,,5000,1,1,41,102122-11/2025,5000
12/2025,6640,17500,Aprovada,,Produtos Químicos Convênio Harvard,BENS,102122,45552,45672,120,CONVENIO HARVARD,33/2024,Médio,2,45731,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,,,,,,17500,1,1,38,102122-12/2025,17500
12/2025,6810,65000,Aprovada,,Produtos Químicos Convênio Harvard,BENS,102122,45552,45672,120,CONVENIO HARVARD,33/2024,Médio,1,45731,Material,PRODUTOS QUÍMICOS,,,,,,65000,1,1,38,102122-12/2025,65000
12/2025,9330,1000,Aprovada,,Produtos Químicos Convênio Harvard,BENS,102122,45552,45672,120,CONVENIO HARVARD,33/2024,Médio,3,45731,Material,ARTIGOS DE PLÁSTICO,,,,,,1000,1,1,38,102122-12/2025,1000
13/2025,6810,15000,Aprovada,,Higiene e limpeza Almoxarifado,BENS,102122,45552,45672,120,ALMOXARIFADO,12/2024,Médio,3,45667,Material,PRODUTOS QUÍMICOS,,,,,,15000,1,1,32,102122-13/2025,15000
13/2025,6840,5000,Aprovada,,Higiene e limpeza Almoxarifado,BENS,102122,45552,45672,120,ALMOXARIFADO,12/2024,Médio,4,45667,Material,PESTICIDAS E DESINFETANTES,,,,,,5000,1,1,32,102122-13/2025,5000
13/2025,7330,3000,Aprovada,,Higiene e limpeza Almoxarifado,BENS,102122,45552,45672,120,ALMOXARIFADO,12/2024,Médio,10,45667,Material,UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA,,,,,,3000,1,1,32,102122-13/2025,3000
13/2025,7350,15000,Aprovada,,Higiene e limpeza Almoxarifado,BENS,102122,45552,45672,120,ALMOXARIFADO,12/2024,Médio,7,45667,Material,LOUÇA E ARTIGOS DE MESA,,,,,,15000,1,1,32,102122-13/2025,15000
13/2025,7920,20000,Aprovada,,Higiene e limpeza Almoxarifado,BENS,102122,45552,45672,120,ALMOXARIFADO,12/2024,Médio,5,45667,Material,"VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES",,,,,,20000,1,1,32,102122-13/2025,20000
13/2025,8105,7000,Aprovada,,Higiene e limpeza Almoxarifado,BENS,102122,45552,45672,120,ALMOXARIFADO,12/2024,Médio,6,45667,Material,SACOS E BOLSAS,,,,,,7000,1,1,32,102122-13/2025,7000
14/2025,8540,125000,Aprovada,,Artigos de papel higiene Almox,BENS,102122,45601,45721,120,ALMOXARIFADO,12/2024,Médio,2,45667,Material,ARTIGOS DE PAPEL PARA HIGIENE,,,,,,125000,1,1,31,102122-14/2025,125000
15/2025,8925,5000,Aprovada,,Copa e cozinha Almoxarifado,BENS,102122,45775,45895,120,ALMOXARIFADO,14/2024,Médio,3,45848,Material,"AÇÚCAR, CONFEITOS, CASTANHAS, NOZES E SIMILARES",,,,,,5000,1,1,28,102122-15/2025,5000
15/2025,8940,2500,Aprovada,,Copa e cozinha Almoxarifado,BENS,102122,45775,45895,120,ALMOXARIFADO,14/2024,Médio,2,45848,Material,ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS ALIMENTÍCIOS,,,,,,2500,1,1,28,102122-15/2025,2500
15/2025,8955,32500,Aprovada,,Copa e cozinha Almoxarifado,BENS,102122,45775,45895,120,ALMOXARIFADO,14/2024,Médio,1,45848,Material,"CAFÉ, CHÁ E CHOCOLATE",,,,,,32500,1,1,28,102122-15/2025,32500
16/2025,4460,13000,Aprovada,,Material de laboratório Ciências Biológicas,BENS,102122,45705,45825,120,BAB - CIENCIAS BIOLÓGICAS,32/2024,Médio,4,45809,Material,EQUIPAMENTOS PARA PURIFICAÇÃO DE AR,,,,,,13000,1,1,23,102122-16/2025,13000
