Número da contratação,Código Classe/Grupo,Valor Total,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,IdxValor,ID,ID Futura Contratação,Valor PCA
31/2026,6515,1000000.0,Reprovada,,Edital PRPI profa Katia Alvarenga,BENS,102122,45922,46101,179,BAF - FONOAUDIOLOGIA,215/2025,Alto,1,46023,Material,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",30160.0,Equipamento de ressonância magnética,,,,1000000.0,1,1,,,
34/2026,6640,16700.0,Aprovada,,Equipamentos Odontológicos,BENS,102122,46132,46251,119,BAO - ODONTOP. ORTO. S COLETIVA,50/2025,Médio,1,46172,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,,,,,,16700.0,1,1,394.0,102122-34/2026,16700.0
34/2026,6520,3492.0,Aprovada,,Equipamentos Odontológicos,BENS,102122,46132,46251,119,BAD - DENT. ENDO. MAT ODONT.,153/2025,Alto,1,46114,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",,,,,,3492.0,1,1,392.0,102122-34/2026,3492.0
34/2026,6525,1400.0,Aprovada,,Equipamentos Odontológicos,BENS,102122,46132,46251,119,BAD - DENT. ENDO. MAT ODONT.,153/2025,Alto,2,46114,Material,"EQUIPAMENTOS E SUPRIMENTOS DE RAIOS-X DE USO  MÉDICO,  DENTÁRIO E VETERINÁRIO",,,,,,1400.0,1,1,393.0,102122-34/2026,1400.0
34/2026,6520,18000.0,Aprovada,,Equipamentos Odontológicos,BENS,102122,46132,46251,119,UBAS,323/2025,Baixo,1,46129,Material,"Instrumentos, equipamentos e suprimentos dentários",,,,,,18000.0,1,1,395.0,102122-34/2026,18000.0
33/2026,6515,90000.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,89/2025,Médio,1,46073,Material,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",17976.0,Medidor Uso Médico,382994.0,"características adicionais: fx teste 40 a 90dbnps com fx freq. 100 a 1000hz, frequência de resposta: tom contínuo 200 a 8000, tipo: ganho de inserção, mensuração in situ, tipo medição: análise ap. auditivo,reur,rear,reor,reir,recd,cgr",UN,18.0,5000,1,107.0,102122-33/2026,90000.0
33/2026,6515,40000.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,89/2025,Médio,2,46073,Material,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",19697.0,Tubo Hospitalar,473660.0,"comprimento: 10 cm, diâmetro interno: 0,03 mm, material: silicone transparente, uso: molde p/ aparelho retro auricular",UN,8.0,5000,1,108.0,102122-33/2026,40000.0
33/2026,6515,58731.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,92/2025,Alto,1,46173,Material,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",,,,,,58731.0,1,1,109.0,102122-33/2026,58731.0
33/2026,6640,16462.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,95/2025,Alto,1,46081,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,2319.0,ELETRODO LABORATÓRIO,,,,16462.0,1,1,105.0,102122-33/2026,16462.0
33/2026,6640,9850.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,95/2025,Alto,2,46081,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,3758.0,PEÇA EQUIPAMENTO DIAGNÓSTICO CLÍNICO,,,,9850.0,1,1,104.0,102122-33/2026,9850.0
33/2026,6530,3971.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,95/2025,Alto,3,46081,Material,"MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E  SUPRIMENTOS  HOSPITALARES",6807.0,EQUIPAMENTO PARA TESTE EMISSÃO OTOACÚSTICA,421487.0,"ACESSÓRIOS: SOFTWARE COLETA/ANÁLISE DADOS, ADICIONAIS: PASTA ABRASIVA E CONDUTIVA, OLIVAS E ELETRODOS, COMPOSIÇÃO: MINI IMPRESSORA TERMO SENSÍVEL, MÓDULO: BERA, PEATE, DPOAE, TEOAE, OUTROS COMPONENTES: FONE INSERÇÃO, 1 PRÉ-AMPLIFICADOR, TENSÃO ALIMENTAÇÃO: 110/220, TIPO: PORTÁTIL, MODULO TRIAGEM",UN,209.0,19,1,103.0,102122-33/2026,3971.0
33/2026,6532,250.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,95/2025,Alto,4,46081,Material,Vestuário hospitalar e cirúrgico e itens correlatos de  finalidades especiais,8774.0,Lençol descartável uso hospitalar,,,,250.0,1,1,106.0,102122-33/2026,250.0
33/2026,6515,43425.0,Aprovada,,ARP Clinica de Fono,BENS,102122,46055,46175,120,CLINICA DE FONOAUDIOLOGIA,231/2025,Baixo,1,46094,Material,"Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos",,,,,,43425.0,1,1,102.0,102122-33/2026,43425.0
35/2026,6810,20000.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAE - ESTOMATO. CIRU. RADIO. PATO,25/2025,Médio,1,46083,Material,PRODUTOS QUÍMICOS,,,,,,20000.0,1,1,88.0,102122-35/2026,20000.0
35/2026,6550,5000.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAE - ESTOMATO. CIRU. RADIO. PATO,25/2025,Médio,2,46083,Material,"Substâncias Para Diagnóstico ""In Vitro"",  Reagentes,  Conjuntos E Jogos Para Teste",,,,,,5000.0,1,1,94.0,102122-35/2026,5000.0
35/2026,6505,5100.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,53/2025,Alto,1,46034,Material,DROGAS E MEDICAMENTOS,,,,,,5100.0,1,1,92.0,102122-35/2026,5100.0
35/2026,6810,10500.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,58/2025,Alto,1,46034,Material,PRODUTOS QUÍMICOS,19042.0,MEIO DE CULTURA.,,,,10500.0,1,1,89.0,102122-35/2026,10500.0
35/2026,6640,1400.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,210/2025,Médio,1,46069,Material,Equipamentos e artigos de laboratório,,,,,,1400.0,1,1,79.0,102122-35/2026,1400.0
35/2026,6640,32000.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,213/2025,Médio,1,46076,Material,Equipamentos E Artigos De Laboratório,9749.0,Placa De Petri,,,,32000.0,1,1,80.0,102122-35/2026,32000.0
35/2026,6640,50000.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,CIP,236/2025,Médio,2,46083,Material,EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,,,,,,50000.0,1,1,78.0,102122-35/2026,50000.0
35/2026,6640,875.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAB - CIENCIAS BIOLÓGICAS,266/2025,Alto,1,46027,Material,Equipamentos e artigos de laboratório,13426.0,Lâmina Laboratório,409745.0,"dimensões: cerca de 75 x 50, material: vidro, tipo borda: borda fosca",UN,0.35,2500,1,86.0,102122-35/2026,875.0
35/2026,6640,250.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAB - CIENCIAS BIOLÓGICAS,266/2025,Alto,2,46027,Material,Equipamentos e artigos de laboratório,8637.0,Lamínula,409646.0,"dimensões: cerca de 25 x 50, material: vidro",UN,0.1,2500,1,81.0,102122-35/2026,250.0
35/2026,6810,720.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAB - CIENCIAS BIOLÓGICAS,266/2025,Alto,3,46027,Material,Produtos químicos,18189.0,Álcool Etílico,346633.0,"aspecto físico: líquido límpido, incolor, volátil, característica adicional: anidro, absoluto, fórmula química: c2h5oh, grau de pureza: mínimo de 99,7% p/p inpm, número de referência química: cas 64-17-5, peso molecular: 46,07, teor alcoólico: mínimo de 99,5°gl",L,15.0,48,1,70.0,102122-35/2026,720.0
35/2026,6810,1080.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAB - CIENCIAS BIOLÓGICAS,266/2025,Alto,4,46027,Material,Produtos químicos,13489.0,Xileno,364124.0,"aspecto físico: líquido límpido, incolor, inflamável, característica adicional: reagente p.a., fórmula química: c6h4(ch3)2  (p-xileno), grau de pureza: pureza mínima de 99%, número de referência química: cas 106-42-3, peso molecular: 106,17",L,45.0,24,1,69.0,102122-35/2026,1080.0
35/2026,6810,320.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAB - CIENCIAS BIOLÓGICAS,266/2025,Alto,5,46027,Material,Produtos químicos,7739.0,Formaldeído (Formol),362990.0,"aspecto físico: líquido incolor, límpido, fórmula química: h2co, grau de pureza: concentração entre 37 e 40%, número de referência química: cas 50-00-0, peso molecular: 30,03",L,160.0,2,1,72.0,102122-35/2026,320.0
35/2026,6810,1600.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAB - CIENCIAS BIOLÓGICAS,266/2025,Alto,6,46027,Material,PRODUTOS QUÍMICOS,796.0,PARAFINA,464232.0,"APRESENTAÇÃO: EM PASTILHA, ASPECTO FÍSICO: HISTOLÓGICA, SÓLIDA, BRANCA, PONTO FUSÃO: 58 A 62",KG,160.0,10,1,74.0,102122-35/2026,1600.0
35/2026,6640,1650.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,BAB - CIENCIAS BIOLÓGICAS,266/2025,Alto,7,46027,Material,Equipamentos e artigos de laboratório,13654.0,Navalha Laboratório,464231.0,"adicional: alto perfil, aplicação: para micrótomo, dimensões: cerca de 80 x 15, material: aço inox, revestimento: revestida com cerâmica e ptfe, tipo uso: descartável",UN,11.0,150,1,83.0,102122-35/2026,1650.0
35/2026,6640,570.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,299/2025,Alto,1,46041,Material,Equipamentos e artigos de laboratório,9759.0,Microtubo,,,,570.0,1,1,82.0,102122-35/2026,570.0
35/2026,6640,2080.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,299/2025,Alto,2,46041,Material,Equipamentos e artigos de laboratório,13114.0,Tubo laboratório,,,,2080.0,1,1,85.0,102122-35/2026,2080.0
35/2026,6640,3800.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,299/2025,Alto,3,46041,Material,Equipamentos E Artigos De Laboratório,11016.0,Ponteira Laboratório,,,,3800.0,1,1,87.0,102122-35/2026,3800.0
35/2026,6515,485.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,299/2025,Alto,4,46041,Material,"Instrumentos, Equipamentos E Suprimentos Médicos  E  Cirúrgicos",13831.0,Swab,,,,485.0,1,1,95.0,102122-35/2026,485.0
35/2026,6810,128.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,299/2025,Alto,5,46041,Material,Produtos Químicos,30322.0,Insumos Biológicos,,,,128.0,1,1,71.0,102122-35/2026,128.0
35/2026,6550,26000.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,CIP,301/2025,Médio,1,46083,Material,"SUBSTÂNCIAS PARA DIAGNÓSTICO ""IN VITRO"",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE",12254.0,SOLUÇÃO TAMPÃO,409671.0,"TIPO: PH 7,4",FR,500.0,52,1,76.0,102122-35/2026,26000.0
35/2026,6550,100.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,CIP,301/2025,Médio,2,46083,Material,"Substâncias para diagnóstico ""in vitro"",  reagentes,  conjuntos e jogos para teste",12254.0,Solução Tampão,234416.0,"aplicação: calibragem de peagâmetro, leitura: ph 4,0",FR,100.0,1,1,75.0,102122-35/2026,100.0
35/2026,6550,100.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,CIP,301/2025,Médio,3,46083,Material,"Substâncias para diagnóstico ""in vitro"",  reagentes,  conjuntos e jogos para teste",12254.0,Solução Tampão,234417.0,"aplicação: calibragem de peagâmetro, leitura: ph 7,0",FR,100.0,1,2,77.0,102122-35/2026,100.0
35/2026,6505,4318.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,298/2025,Alto,1,46034,Material,Drogas e medicamentos,2517.0,Anfotericina b,,,,4318.0,1,1,93.0,102122-35/2026,4318.0
35/2026,6505,573.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,298/2025,Alto,2,46034,Material,Drogas E Medicamentos,7644.0,Fluconazol,,,,573.0,1,1,91.0,102122-35/2026,573.0
35/2026,6640,330.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,MICROBIOLOGIA-IMUNOLOGIA,299/2025,Alto,6,46041,Material,Equipamentos e artigos de laboratório,9749.0,Placa de petri,,,,330.0,1,1,84.0,102122-35/2026,330.0
35/2026,6810,100.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,CIP,301/2025,Médio,4,46083,Material,Produtos químicos,13893.0,Corante,327534.0,"aspecto físico: líquido, características adicionais: frascos separados contendo, composição: cristalvioleta,lugol,etanol-acetona,fucsina básica, tipo: conjunto reagente para coloração de gram",FR,100.0,1,1,73.0,102122-35/2026,100.0
35/2026,6850,300.0,Aprovada,,ARP Consumíveis laboratório,BENS,102122,46237,46356,119,CIP,301/2025,Médio,5,46083,Material,Especialidades químicas diversas,12210.0,Solução,626188.0,"aplicação: calibração de turbidímetro, características adicionais: em conjunto com, padrões 0,1 ntu, 100 ntu, 800 ntu, referência: lab lac/r077011, tipo: turbidez",EMB,300.0,1,1,90.0,102122-35/2026,300.0
36/2026,6520,1500.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,74/2025,Alto,1,46172,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",7008.0,ESPELHO BUCAL,437556.0,"APRESENTAÇÃO: EMBALAGEM INDIVIDUAL, MATERIAL: AÇO INOXIDÁVEL E ESPELHO, TAMANHO: N° 4, TIPO: PLANO, TIPO USO: AUTOCLAVÁVEL, USO: ENCAIXE UNIVERSAL",UN,7.5,200,1,241.0,102122-36/2026,1500.0
36/2026,6520,1500.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,74/2025,Alto,2,46172,Material,"Instrumentos, equipamentos e suprimentos dentários",7007.0,Cabo Espelho Bucal,413302.0,"formato: redondo, material: alumínio, tipo uso: autoclavável",UN,7.5,200,2,242.0,102122-36/2026,1500.0
36/2026,6520,10000.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,74/2025,Alto,3,46172,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",1296.0,SONDA ODONTOLÓGICA,419944.0,"CARACTERÍSTICAS ADICIONAIS: MILIMETRADA, MATERIAL: AÇO INOXIDÁVEL, MODELO: WHO (0MS), TIPO: PERIODONTAL",UN,50.0,200,1,243.0,102122-36/2026,10000.0
36/2026,6520,1100.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,85/2025,Médio,1,46111,Material,"INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS",1398.0,CAIXA BANDAS ORTODÔNTICOS,,,,1100.0,1,1,240.0,102122-36/2026,1100.0
36/2026,6520,2400.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,85/2025,Médio,2,46111,Material,"Instrumentos, Equipamentos E Suprimentos Dentários",7538.0,Fio Ortodôntico,,,,2400.0,1,1,238.0,102122-36/2026,2400.0
36/2026,6520,5500.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,85/2025,Médio,3,46111,Material,"Instrumentos, Equipamentos E Suprimentos Dentários",1325.0,Expansor Ortodôntico,,,,5500.0,1,1,239.0,102122-36/2026,5500.0
36/2026,6520,23993.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,98/2025,Médio,1,46142,Material,"Instrumentos, Equipamentos E Suprimentos Dentários",1321.0,Bráquete Odontológico,,,,23993.0,1,1,237.0,102122-36/2026,23993.0
36/2026,6520,20448.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,98/2025,Médio,2,46142,Material,"Instrumentos, equipamentos e suprimentos dentários",1331.0,Tubo ortodôntico,,,,20448.0,1,1,234.0,102122-36/2026,20448.0
36/2026,6520,672.0,Aprovada,,Material Odonto não padronizado,BENS,102122,46034,46142,108,BAO - ODONTOP. ORTO. S COLETIVA,98/2025,Médio,3,46142,Material,"Instrumentos, Equipamentos E Suprimentos Dentários",7538.0,Fio Ortodôntico,,,,672.0,1,1,236.0,102122-36/2026,672.0
